"Dataset","GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display","Numeric","Low","High","Comments"
"CYCU","WHS7_104","NHA_LS","PUBLISHED","2002","EMR","IRQ","0.2",,,,
"CYCU","WHS7_104","","PUBLISHED","2001","AFR","COD","0.3",,,,
"CYCU","WHS7_104","NHA_W","PUBLISHED","2005","SEAR","MMR","0.4",,,,
"CYCU","WHS7_108","NHA_LS","PUBLISHED","2002","EMR","IRQ","0.7",,,,
"CYCU","WHS7_104","","PUBLISHED","2004","AFR","COD","1.4",,,,
"CYCU","WHS7_108","NHA_W","PUBLISHED","1996","SEAR","MMR","1.5",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2003","AFR","LBR","1.6",,,,
"CYCU","WHS7_108","NHA_W","PUBLISHED","1995","SEAR","MMR","1.6",,,,
"CYCU","WHS7_108","NHA_W","PUBLISHED","2000","SEAR","MMR","1.7",,,,
"CYCU","WHS7_108","NHA_FG","PUBLISHED","2004","EMR","AFG","1.7",,,,
"CYCU","WHS7_104","NHA_FG","PUBLISHED","2004","EMR","AFG","2.0",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","1998","AFR","LBR","2.1",,,,
"CYCU","WHS7_104","NHA_L","PUBLISHED","1995","EMR","SOM","2.1",,,,
"CYCU","WHS7_104","NHA_LO","PUBLISHED","2005","AFR","ERI","2.5",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2000","AFR","LBR","2.7",,,,
"CYCU","WHS7_104","NHA_FY","PUBLISHED","2001","EMR","PAK","2.7",,,,
"CYCU","WHS7_104","NHA_FJX","PUBLISHED","1995","SEAR","NPL","2.9",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2001","AFR","NER","3.0",,,,
"CYCU","WHS7_104","NHA_L","PUBLISHED","1999","EMR","SOM","3.4",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","1998","AFR","SLE","3.4",,,,
"CYCU","WHS7_104","NHA_J","PUBLISHED","1998","WPR","KHM","3.4",,,,
"CYCU","WHS7_156","","PUBLISHED","1995","EUR","TJK","3.4",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2006","AFR","LBR","3.4",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2004","AFR","GIN","3.5",,,,
"CYCU","WHS7_104","NHA_LO","PUBLISHED","2006","AFR","ERI","3.5",,,,
"CYCU","WHS7_104","","PUBLISHED","1995","AFR","RWA","3.8",,,,
"CYCU","WHS7_104","NHA_J","PUBLISHED","1997","SEAR","BGD","3.8",,,,
"CYCU","WHS7_104","NHA_FJX","PUBLISHED","2001","SEAR","NPL","3.9",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2005","AFR","ETH","4.0",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2001","AFR","GIN","4.1",,,,
"CYCU","WHS7_108","NHA_F","PUBLISHED","1995","AFR","ETH","4.1",,,,
"CYCU","WHS7_104","","PUBLISHED","2008","SEAR","PRK","4.1",,,,
"CYCU","WHS7_104","NHA_J","PUBLISHED","2002","SEAR","BGD","4.2",,,,
"CYCU","WHS7_108","NHA_FL","PUBLISHED","2000","AFR","LBR","4.4",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2001","EMR","SDN","4.4",,,,
"CYCU","WHS7_156","NHA_F","PUBLISHED","1999","AFR","ETH","4.5",,,,
"CYCU","WHS7_156","NHA_F","PUBLISHED","1998","AFR","ETH","4.5",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2005","AFR","BDI","4.6",,,,
"CYCU","WHS7_156","NHA_W","PUBLISHED","2005","SEAR","MMR","4.7",,,,
"CYCU","WHS7_104","NHA_W","PUBLISHED","2012","SEAR","MMR","4.7",,,,
"CYCU","WHS7_104","","PUBLISHED","2007","SEAR","PRK","4.9",,,,
"CYCU","WHS7_104","NHA_LO","PUBLISHED","2008","AFR","ERI","5.0",,,,
"CYCU","WHS7_104","NHA_J","PUBLISHED","2002","WPR","KHM","5.0",,,,
"CYCU","WHS7_104","NHA_FY","PUBLISHED","2005","EMR","PAK","5.1",,,,
"CYCU","WHS7_108","NHA_FL","PUBLISHED","2005","AFR","LBR","5.2",,,,
"CYCU","WHS7_104","NHA_LO","PUBLISHED","2010","AFR","ERI","5.3",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2000","AFR","CMR","5.4",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2003","SEAR","IND","5.5",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2000","SEAR","IDN","5.6",,,,
"CYCU","WHS7_108","NHA_FG","PUBLISHED","2008","EMR","AFG","5.7",,,,
"CYCU","WHS7_104","","PUBLISHED","2000","AFR","NGA","5.8",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2004","AFR","MDG","5.9",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2003","AFR","TZA","5.9",,,,
"CYCU","WHS7_104","","PUBLISHED","2001","EUR","KGZ","6.0",,,,
"CYCU","WHS7_104","NHA_FLQ","PUBLISHED","1996","AFR","GNB","6.1",,,,
"CYCU","WHS7_104","","PUBLISHED","2002","SEAR","PRK","6.1",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2007","AFR","BDI","6.2",,,,
"CYCU","WHS7_104","NHA_FLQ","PUBLISHED","2007","AFR","GNB","6.4",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2003","EMR","SDN","6.5",,,,
"CYCU","WHS7_156","","PUBLISHED","1998","AFR","COD","6.6",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","1997","AFR","SEN","6.6",,,,
"CYCU","WHS7_108","NHA_FL","PUBLISHED","2003","AFR","BDI","6.7",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","1998","AFR","AGO","6.9",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2005","SEAR","IND","7.0",,,,
"CYCU","WHS7_156","NHA_LO","PUBLISHED","2004","AFR","ERI","7.0",,,,
"CYCU","WHS7_108","NHA_F","PUBLISHED","1996","AFR","GIN","7.0",,,,
"CYCU","WHS7_156","NHA_F","PUBLISHED","1995","AFR","MWI","7.1",,,,
"CYCU","WHS7_108","NHA_LO","PUBLISHED","2010","AFR","ERI","7.1",,,,
"CYCU","WHS7_104","","PUBLISHED","1998","AFR","RWA","7.1",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","1997","AFR","MLI","7.2",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2007","AFR","UGA","7.2",,,,
"CYCU","WHS7_104","NHA_FU","PUBLISHED","2007","WPR","LAO","7.3",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","1995","SEAR","IDN","7.3",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2011","AFR","TCD","7.4",,,,
"CYCU","WHS7_104","NHA_FY","PUBLISHED","2007","EMR","PAK","7.4",,,,
"CYCU","WHS7_108","NHA_FL","PUBLISHED","1999","AFR","BDI","7.4",,,,
"CYCU","WHS7_108","NHA_F","PUBLISHED","2000","AFR","NER","7.4",,,,
"CYCU","WHS7_156","NHA_L","PUBLISHED","1998","EMR","SOM","7.5",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2009","AFR","GIN","7.6",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2005","AFR","NER","7.6",,,,
"CYCU","WHS7_156","NHA_F","PUBLISHED","1996","AFR","TZA","7.6",,,,
"CYCU","WHS7_156","NHA_LO","PUBLISHED","2006","AFR","ERI","7.8",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","1996","AFR","BEN","7.8",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2006","SEAR","IND","7.8",,,,
"CYCU","WHS7_156","NHA_FL","PUBLISHED","1998","AFR","BDI","8.0",,,,
"CYCU","WHS7_104","","PUBLISHED","2009","EMR","SSD","8.0",,,,
"CYCU","WHS7_108","NHA_FL","PUBLISHED","2002","AFR","BDI","8.0",,,,
"CYCU","WHS7_108","NHA_FLQ","PUBLISHED","2004","AFR","GNB","8.0",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2001","AFR","BEN","8.0",,,,
"CYCU","WHS7_108","NHA_F","PUBLISHED","1997","AFR","NER","8.2",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2005","AFR","SLE","8.4",,,,
"CYCU","WHS7_108","NHA_LO","PUBLISHED","2000","AFR","ERI","8.4",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2001","AFR","MOZ","8.6",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2001","AFR","CIV","8.8",,,,
"CYCU","WHS7_104","NHA_P","PUBLISHED","1998","EUR","GEO","8.9",,,,
"CYCU","WHS7_104","NHA_J","PUBLISHED","2009","WPR","KHM","9.0",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2012","AFR","GIN","9.0",,,,
"CYCU","WHS7_105","NHA_W","PUBLISHED","1998","SEAR","MMR","9.1",,,,
"CYCU","WHS7_108","NHA_LO","PUBLISHED","2002","AFR","ERI","9.3",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2009","AFR","NER","9.4",,,,
"CYCU","WHS7_156","NHA_FL","PUBLISHED","2002","AFR","LBR","9.5",,,,
"CYCU","WHS7_156","NHA_J","PUBLISHED","2000","SEAR","BGD","9.7",,,,
"CYCU","WHS7_108","NHA_F","PUBLISHED","2001","AFR","TGO","9.7",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2004","AFR","CMR","10.1",,,,
"CYCU","WHS7_105","","PUBLISHED","1996","AFR","COD","10.2",,,,
"CYCU","WHS7_104","NHA_FL","PUBLISHED","2005","AFR","TCD","10.3",,,,
"CYCU","WHS7_105","","PUBLISHED","2001","AFR","COD","10.3",,,,
"CYCU","WHS7_156","NHA_F","PUBLISHED","1998","AFR","CAF","10.5",,,,
"CYCU","WHS7_108","NHA_LO","PUBLISHED","1995","AFR","ERI","10.5",,,,
"CYCU","WHS7_108","NHA_FLQ","PUBLISHED","2006","AFR","GNB","10.6",,,,
"CYCU","WHS7_104","NHA_P","PUBLISHED","1997","EUR","GEO","10.6",,,,
"CYCU","WHS7_108","NHA_F","PUBLISHED","1998","AFR","MWI","10.8",,,,
"CYCU","WHS7_104","NHA_F","PUBLISHED","2004","SEAR","IDN","10.9",,,,
